text,labels
"Alternative ‘natural’ approaches to vaccination such as ‘homeopathic vaccination’, ‘immune system boosting’ through a natural healthy diet; cites chicken pox, cholera, diphtheria, rabies, measles, mumps, pertussis (whooping cough), pneumonia, polio, rubella, smallpox, tetanus and tonsillitis, as susceptible to such ‘immunizations’. ",[0. 0. 0. 0. 1. 0. 0.]
Evocations of a ‘war’ in which shadowy elites wield all-pervasive power were also found on other sites ,[1. 0. 0. 0. 0. 1. 0.]
"Appeals to personal freedom and choice, contrasted against extreme and excessive state power; Anxieties about totalitarianism",[0. 0. 0. 1. 0. 1. 0.]
All were conservative in orientation. ,[0. 0. 0. 0. 0. 1. 0.]
"This generally involved accusations of cover-ups involving government agencies such as the CDC, scientists and ‘big pharma’, and the silencing of those who speak out against the vaccine ‘orthodoxy’. These evocations of big business and government working closely together pose legitimate questions about accountability and echo long-standing concerns about the influence of pharmaceutical companies on health policy; The use of vaccination in a ‘totalitarian’ agenda, the use of ‘mind control’ and a ‘new world order’; the state is implicated in murder. 
",[1. 0. 0. 0. 0. 0. 0.]
Mercury,[0. 0. 1. 0. 0. 0. 0.]
Autism,[0. 0. 1. 0. 0. 0. 0.]
Civil rights; vaccine choice; health freedom; Children's Righta,[0. 0. 0. 1. 0. 0. 0.]
Big Pharma,[1. 0. 0. 0. 0. 0. 0.]
Nuremberg Code,[0. 0. 0. 0. 0. 0. 0.]
Religious Exemption,[0. 1. 0. 0. 0. 0. 0.]
"Uncertainties varied and related to possible long-term negative effects of vaccines on children's immune systems; autoimmune diseases, and unknown long-term effects of aluminum and other additives on the body, particularly the brain. ",[0. 0. 1. 0. 0. 0. 0.]
"Children are either too healthy and do not need vaccines, or they are too sick and cannot handle them. ",[0. 0. 1. 0. 0. 0. 0.]
[Personal] experiences allowed participants to express perspectives diverging from generally accepted biomedical consensus on health and illness. ,[0. 0. 0. 0. 0. 0. 1.]
Illness is no longer tolerated in modern society due to its inconvenience.,[1. 0. 0. 0. 0. 1. 1.]
Biomedical providers were in a “panic” and “fearful” about diseases and infections.,[1. 0. 1. 0. 0. 0. 0.]
"A relaxed view about some vaccine-preventable childhood infections, with some arguing that we have “the right to be sick.” ",[0. 0. 1. 1. 0. 0. 0.]
"Constructed Switzerland as a safe space; The risk of contracting certain VPDs, such as poliomyelitis, was virtually null in Europe and Switzerland.",[0. 0. 1. 0. 0. 0. 0.]
Lack of clear scientific consensus in Switzerland before the implementation of new vaccination recommendations. ,[1. 0. 0. 0. 0. 0. 0.]
"Depict them as treating humans, not herds",[0. 0. 0. 1. 0. 0. 0.]
"Uniform vaccination programs might not be justified because they fail to meaningfully take into account CAM perspectives, evidence from clinical experiences, and individual patients’ contexts and wishes. ",[0. 0. 0. 1. 1. 0. 1.]
"Focused on individual patients, families, and their specific social contexts and did not involve actively pursuing public health objectives related to herd protection; by incorporating: (1) par- ents' pre-existing knowledge and perceptions on vaccinations and vaccine-preventable diseases, (2) parents' wishes and concerns, and (3) patients’ histories, physical constitution, medical history, and social and family contexts ",[1. 0. 0. 1. 0. 0. 1.]
"Considered patients individually without actively pursuing public health goals of herd immunity; parents’ contexts, concerns, and wishes at the center of the discussion.",[0. 0. 0. 1. 0. 0. 0.]
They did not like multiple doses of a vaccine and that they had sought their own research and found that one dose was sufficient. ,[0. 0. 0. 0. 1. 0. 1.]
Beliefs about 'toxic ingredients’ in the vaccines; ‘poisoning children’ or ‘making the child sick,[0. 0. 1. 0. 0. 0. 0.]
"Concerns about the potential side-effects of the vaccine; disabilities, deafness, mental damage, coma or death; autism, polio or cancer as a result of vaccinating their children.",[0. 0. 1. 0. 0. 0. 0.]
"A good diet and a healthy lifestyle prevented the diseases that vaccines targeted, rendering the necessity of vaccination redundant or at least of reduced importance",[0. 0. 0. 0. 1. 0. 0.]
"Affluence reduced the need for vaccination, arguing that vaccines were really for children living in poverty; preferred to isolate their children from their peers to reduce the risk of acquiring diseases.",[0. 0. 1. 0. 1. 0. 0.]
"In a ‘civilized country’, some vaccinations were not needed, for example, measles.",[0. 0. 1. 0. 1. 0. 0.]
These diseases were not significantly dangerous to merit vaccination; diseases targeted by vaccines are not life-threatening.,[0. 0. 1. 0. 0. 0. 0.]
"They preferred their children to have ‘natural’ exposure to such diseases, thereby developing a ‘natural’ immunity; diseases are ‘natural’.",[0. 0. 0. 0. 1. 0. 0.]
"Lack of trust in government institutions, and this extended to mistrust about their motives in relation with promoting vaccination",[1. 0. 0. 0. 0. 0. 0.]
Suspicions about the relationship between government and the pharmaceutical industry which is perceived to be unclear at best and a conspiracy to hide vaccine ‘truths’ at worst.,[1. 0. 0. 0. 0. 0. 0.]
"Some HPs were incompetent in their knowledge of vaccines and their side-effects; a lack of time to discuss vaccines with HPs, but when they did, the communication style used was often paternalistic;",[1. 0. 0. 1. 0. 0. 0.]
The relationship between the pharmaceutical industries and other influential organizations was viewed as dishonest with financial gain being at the heart of this.,[1. 0. 0. 0. 0. 0. 0.]
The medical profession being influenced by the interests of vaccine manufacturers,[1. 0. 0. 0. 0. 0. 0.]
Doubts about the integrity of scientific research which then created a lack of trust in the evidence they are presented with to support vaccine efficacy and safety.,[1. 0. 0. 0. 0. 0. 0.]
No research has been conducted concerning the long-term effects of vaccinations and that the lack of such studies is linked to both the political and economic agendas of the pharmaceutical industry and government.,[1. 0. 0. 0. 0. 1. 0.]
Considering such information to be subjective and/or manipulated e especially the manner in which side-effects are minimized and reported.,[1. 0. 0. 0. 0. 0. 0.]
Parents felt this [vaccine information] was too biased in favour of vaccination and felt under pressure to comply with recommendations.,[1. 0. 0. 1. 0. 0. 0.]
Lack of trust in the media who are mainly seen as supporting the medical establishment viewpoint on vaccines and not promoting and supporting an ‘open’ debate about vaccine safety.,[1. 0. 0. 0. 0. 0. 0.]
Vaccines represent an ‘unnatural’ approach to health and therefore are contrary to the natural actions of the body and somehow interfere with the body's ability to protect itself against disease; vaccination deprived children of the opportunity to develop immunity in a natural way.,[0. 0. 0. 0. 1. 0. 0.]
Vaccination interfered with the natural immunity acquired from breastfeeding.,[0. 0. 0. 0. 1. 0. 0.]
"Postponing vaccination, breastfeeding and allowing the child to acquire the target infections naturally",[0. 0. 0. 0. 1. 0. 0.]
"The immune system being ‘overloaded’; heavy vaccination schedule is not suitable for very young children, whose immune systems are still developing and vulnerable to such ‘overload’.",[0. 0. 1. 0. 1. 0. 0.]
Children should have a life ‘free from chemicals and toxic ingredients’; they wanted to provide their children with a life without such toxicity.,[0. 0. 1. 0. 0. 0. 0.]
[Vaccine resistance] was linked to religious faith and that vaccination was an act that would impinge on divine actions concerning the health of their child; felt that it was up to God to decide if their children would be ill or not and that vaccination was contrary to that faith-based belief.,[0. 1. 0. 0. 0. 0. 0.]
Need to be fully informed to make vaccine related decisions; parental decision making is often affected by not having enough information about vaccination; ,[1. 0. 0. 0. 0. 0. 0.]
There is a lack of information particularly about side effects.,[1. 0. 0. 0. 0. 0. 0.]
"Difficulty in dealing with ambivalent information; A lack of objective information and that the information on vaccines is fragmentary, unbalanced and consequently unreliable.",[1. 0. 0. 0. 0. 0. 0.]
"The toxicity of vaccine ingredients, vaccine side effects and the ability of the vaccines to cause disease; risk of damage that vaccinations may cause to the immune system.",[0. 0. 1. 0. 0. 0. 0.]
"Did not perceive the risks associated with the target diseases as high, stating that it was better to contract the disease than to receive the vaccine and that disease was a natural part of childhood; certain vaccinations were unnecessary in some countries and did not see their child as being at any risk",[0. 0. 1. 0. 1. 0. 0.]
Mistrust towards both health and pharmaceutical institutions which stemmed from a perception of personal gain for those working in them.,[1. 0. 0. 0. 0. 0. 0.]
"A strong burden of responsibility around decision-making and talked about living in fear that, by choosing to vaccinate, they may expose their child to harm (from the vaccine); feeling judged and marginalized;",[0. 0. 1. 0. 0. 0. 0.]
The responsibility parents felt as a result of this vicarious decision making was offset by turning to spiritual and religious beliefs and placing the fate of their child with God.,[0. 1. 0. 0. 0. 0. 0.]
One could not rely on medical professionals in reference to vaccines,[1. 0. 0. 0. 0. 0. 0.]
Privileging individualist epistemologies and experiential knowledge over medical expertise; Privileging of maternal individualist knowledge over the opinion of medical professionals,[0. 0. 0. 0. 0. 0. 1.]
Mothers sought to establish themselves as a trustworthy source of information related to vaccine injury ,[0. 0. 0. 0. 0. 0. 1.]
The actions of medical professionals were also cause for skepticism among parents providing testimonials. ,[1. 0. 0. 0. 0. 0. 0.]
They identified the origin of their child’s illness without the help of a medical professional; self- diagnosing; Attributed their child’s illness to vaccine injury; mothers knew something that the doctors did not. ,[0. 0. 1. 0. 0. 0. 1.]
"Mentioned forms of “research” they conducted; go online as a means of validating their individualistic epistemologies, seeking affirmation through externalization of their diagnostic processes. ",[0. 0. 0. 0. 0. 0. 1.]
"Urging the audience to “research, research, research” and “trust your gut” when considering vaccinations for their children. ",[0. 0. 0. 0. 0. 0. 1.]
The strength of the VR/H community was cited at times to bolster individual mothers’ claims of credibility,[0. 0. 0. 0. 0. 0. 1.]
Instances of researching vaccines and descriptions of prior medical knowledge were also prevalent means to justify a mother’s credibility and knowledge of vaccines and vaccine injury,[0. 0. 0. 0. 0. 0. 1.]
"The theme of community building presented whenever the individual created a dichotomy between two groups of people—some trustworthy, others not; Individuals who did not support the anti- vaccination perspectives were often viewed as “others” who were not part of the VR/H community.",[1. 0. 0. 0. 0. 0. 0.]
Causes death ,[0. 0. 1. 0. 0. 0. 0.]
Ineffective ,[1. 0. 0. 0. 0. 0. 0.]
Sexual Promiscuity,[0. 1. 0. 0. 0. 0. 0.]
Expensive ,[0. 0. 0. 0. 0. 0. 0.]
Vitamin D/bicarbonate,[0. 0. 0. 0. 1. 0. 0.]
The rotavirus vaccine is unnecessary,[0. 0. 1. 0. 0. 0. 0.]
Children are already receiving many vaccines.,[0. 0. 0. 0. 1. 0. 0.]
Better to not give the vaccines all at once to avoid side effects and fever.,[0. 0. 1. 0. 1. 0. 0.]
Arranged and family marriages; Encourage their children and grandchildren to not be vaccinated by using themselves as examples and indicating that nothing happened to them even though they were not vaccinated.,[0. 1. 0. 0. 0. 0. 1.]
It gave them influenza,[0. 0. 1. 0. 0. 0. 0.]
It contained last year’s influenza strain or because there were too many different strains:,[1. 0. 0. 0. 0. 0. 0.]
Autism; Dangerous chemicals,[0. 0. 1. 0. 0. 0. 0.]
"Rejected the idea that medical expertise, especially clinical data tabulated by practitioners in-the-field, should be unquestionably privileged.",[0. 0. 0. 0. 0. 0. 1.]
Recommendations made by medical authorities must be measured by a more objective audience and carefully weighed against personal liberty.,[1. 0. 0. 1. 0. 0. 1.]
Vaccinators could not objectively assess the effects of vaccination because they had a financial stake in supporting the practice,[1. 0. 0. 0. 0. 0. 0.]
"Specialisation and vaccination expertise itself created systemic biases that were embedded in vaccination statistics to favour consistently evidence supporting vaccination; This system separated vaccinators from any failures (i.e. when those they vaccinated did catch smallpox), and it made it significantly easier for those attending smallpox cases to dismiss the skill and adequacy of the vaccinators when cataloguing cases of smallpox among the vaccinated.",[1. 0. 0. 0. 0. 0. 0.]
An alternative interpretive framework for the existing epidemiology and vaccine statistics,[0. 0. 0. 0. 0. 0. 1.]
"Physicians, even those specialising in vaccination, could not accurately distinguish clinically between a variety of viruses artificially inoculated in a subject (different species such as syphilis, smallpox, and other animal contagions produced clinically ambiguous signs), and thus they could neither verify that a vaccination pustule would give immunity, nor distinguish a true vaccine pustule from spurious ones",[1. 0. 0. 0. 0. 0. 0.]
"Vaccinators’ tacit knowledge surrounding the practice, and their expectations of the ‘proper’ outcome of each vaccination, interposed a recursively subjective reading of the data, and this occurred both consciously and unconsciously, and in predictable ways.",[1. 0. 0. 0. 0. 0. 0.]
Individual’s experience of illness could not be easily generalized:,[1. 0. 0. 0. 0. 0. 1.]
Mortality from smallpox is not lower in highly vaccinated populations/vaccinated,[1. 0. 0. 0. 1. 0. 0.]
Unvaccinated subgroups are not equally susceptible to smallpox,[0. 0. 1. 0. 0. 0. 0.]
Attack rate from smallpox is not lower in highly vaccinated populations of equal susceptibility to smallpox,[1. 0. 0. 0. 1. 0. 0.]
Vaccination does not mitigate the experience of smallpox in populations of equal susceptibility,[1. 0. 0. 0. 0. 0. 1.]
"Vaccination was an expensive distraction from more proven approaches to disease control such as rigorous sanitation and quarantine of infectious cases, improved personal health through better nutrition, exercise, and a cleaner environment.",[0. 0. 0. 0. 1. 0. 0.]
Cultural stereotypes that portrayed the working class as the locus of disease.,[0. 0. 0. 0. 0. 1. 0.]
"Theories of the relationship between physical and spiritual health, damaging the body could also endanger the soul",[0. 0. 0. 0. 1. 0. 0.]
Toward institutions,[1. 0. 0. 0. 0. 0. 0.]
Toward science (Appealed to science’s fallibility),[1. 0. 0. 0. 0. 0. 0.]
Toward vaccination rates,[1. 0. 0. 0. 0. 0. 0.]
Toward herd immunity,[0. 0. 0. 0. 1. 0. 0.]
Appealed to the debunked research conducted by Andrew Wakefield,[0. 0. 1. 0. 1. 0. 0.]
Number and frequency of vaccine shots; Physicians wanted to give babies dozens of vaccines,[0. 0. 1. 0. 1. 0. 0.]
"Vaccines cause diseases/illnesses: Attention-deficit/hyperactivity disorder (ADHD) Allergies; Asthma; Autism; Autoimmune disease Behavioral issues; Cancer; Death; Developmental regression; Diabetes; Disease that vaccine is protecting against (e.g., influenza illness from influenza vaccine); Guillain-Barre syndrome; HPV infection; Illness (general); Immune system compromise Infertility (HPV only); Irregular menses (HPV only); Learning disabilities; Liver problems; Premature menarche (HPV only); Seizures; Sudden infant death syndrome (SIDS)",[0. 0. 1. 0. 0. 0. 0.]
Taking too many vaccines overloads immune system ,[0. 0. 1. 0. 1. 0. 0.]
Vaccines contain harmful ingredients ,[0. 0. 1. 0. 0. 0. 0.]
Younger children are more susceptible to vaccine risks ,[0. 0. 1. 0. 0. 0. 0.]
Vaccine is too new/not fully studied ,[1. 0. 0. 0. 0. 0. 0.]
Vaccines do not work for everyone,[0. 0. 0. 0. 1. 0. 0.]
Herd immunity increases risks of vaccine-preventable diseases ,[0. 0. 0. 0. 1. 0. 0.]
Profit motive ,[1. 0. 1. 0. 0. 0. 0.]
Black children are given low quality vaccines,[1. 0. 0. 0. 0. 0. 0.]
Mistrust of government/doctors/pharma,[1. 0. 0. 1. 0. 0. 0.]
Naturally developed immunity is superior,[0. 0. 0. 0. 1. 0. 0.]
Natural remedies as substitutes for vaccines,[0. 0. 0. 0. 1. 0. 0.]
Environmental control as substitute for vaccines,[0. 0. 0. 0. 1. 0. 0.]
Vaccine-preventable diseases are not severe,[0. 0. 1. 0. 0. 0. 0.]
Herd immunity works so vaccination is not necessary,[0. 0. 0. 1. 0. 0. 0.]
Lifestyle choices as substitutes for vaccines,[0. 0. 0. 0. 1. 0. 0.]
Vaccine is unnatural human intervention ,[0. 0. 0. 0. 1. 0. 0.]
Herd immunity does not work,[1. 0. 0. 0. 0. 0. 0.]
Vaccine schedule is not related to effectiveness,[1. 0. 0. 0. 0. 0. 0.]
Vaccines become ineffective after multiple dose,[1. 0. 0. 0. 1. 0. 0.]
Vaccines do not work ,[1. 0. 0. 0. 0. 0. 0.]
Herd immunity implies herd mentality,[0. 0. 0. 1. 0. 0. 0.]
Mandate implies importance of a vaccine,[0. 0. 0. 0. 0. 0. 0.]
Vaccine decision is a parent’s right ,[0. 0. 0. 1. 0. 0. 0.]
Some vaccine ingredients are derived from fetuses ,[0. 1. 0. 0. 0. 0. 0.]
HPV vaccine promotes sexual activity,[0. 1. 0. 0. 0. 0. 0.]
"[Vaccinations which are given by nursing staff] as being risky to patients, due to lack of continuity of care and perceived lack of qualifications and expertise in staff groups.",[1. 0. 0. 0. 0. 0. 0.]
Expressed concern about the training and individual expertise of GPs.,[1. 0. 0. 0. 0. 0. 0.]
Favouring the medical input of Poland to the Health Visitor (nurse) in Scotland.,[1. 0. 0. 0. 0. 0. 0.]
"Concern that vaccination provision in Scotland does not include children being examined pre-immunisation by health staff, and that children with a cough or cold may be vaccinated. ",[1. 0. 0. 0. 0. 0. 0.]
"Polish state-funded vaccines were somehow inferior to those in the UK, and thus caused more side effects; concerns about their safety. ",[1. 0. 1. 0. 0. 1. 0.]
Older child’s vaccination and later diagnosis of autism,[0. 0. 1. 0. 0. 0. 0.]
Concerns about the maternal influenza programme in Scotland which they deemed unnecessary; vaccinations are not recommended in pregnancy in Poland.,[1. 0. 1. 0. 0. 0. 0.]
Roman Catholicism and some other Christian denominations have expressed concern about the aborted fetal origins of the principal formulation of rubella vaccine and some cell lines used to manufacture certain types of viral vaccines. ,[0. 1. 0. 0. 0. 0. 0.]
"Districts that typically decline immunization reflect a social tradition within these religious communities, related to modernity, more than a theological objection.",[0. 0. 0. 0. 0. 1. 0.]
"Low immunization rates in Amish communities have been attributed variously to limited access to care, limited disease understanding, higher priority to other activities, and concerns about vaccine safety",[0. 0. 1. 0. 0. 0. 0.]
"They tend to define illness in terms of failure to function in a work role, more than in terms of symptoms; Members are taught that disease is healed by convincing oneself of its unreality. ",[0. 0. 0. 0. 1. 0. 0.]
"What was described as ostensibly religious objections and assertions that vaccines spread the HIV virus or were vehicles for sterilization programs masked deeper struggles related to political power, inadequate health services, and a controversial clinical trial of an investigational antibiotic most of the objections raised related to social issues, rather than theological issues. ",[1. 0. 0. 0. 1. 0. 0.]
"The Watch Tower Society denounced vaccination from the 1920s through the 1940s, citing scriptural passages; The group banned their members from vaccination around this time, under penalty of excommunication ",[0. 1. 0. 0. 0. 0. 0.]
Churches that rely on faith healing; several small Christian denominations or churches hold core beliefs that focus on healing through faith alone.,[0. 1. 0. 0. 1. 0. 0.]
"Muslims may apply additional scrutiny to vaccines required for pilgrims to the annual Hajj in Mecca, when purity takes on extra significance ",[0. 1. 0. 0. 0. 0. 0.]
The minister of health of the Nation of Islam advised believers to avoid all immunizations,[0. 1. 0. 0. 0. 0. 0.]
"Erroneous assertions that all vaccines are grown in chicken eggs, that vaccines are blood products, or that vaccines are contaminated with alcohol, toxins, or heavy metals.",[0. 0. 1. 0. 1. 0. 0.]
"Most vaccines are genetically modified, claiming that such products are forbidden in both Judaism and Christianity based on Leviticus 19:19 and Matthew 15:13.",[0. 1. 0. 0. 0. 0. 0.]
Tetanus toxoid immunization for adult women actually contained contraceptives or abortifacients were based on misunderstanding,[0. 0. 0. 0. 1. 0. 0.]
Objected to immunization on the basis that God created humans in His own image and that the body is a temple not to be defiled,[0. 1. 0. 0. 0. 0. 0.]
"The sexual route of exposure that can be associated with the corresponding pathogens. These objections to immunization were not theologically based per se, but rather arose indirectly as religious beliefs (usually of parents) affected views of acceptable sexual practices or timing. ",[0. 1. 0. 0. 0. 0. 0.]
"The daughter’s young age; it would be several years before she would become sexually active; concerns about the possible harmful effects on a young, growing body. ",[0. 1. 1. 0. 0. 0. 0.]
"She had medical issues, such as diabetes, asthma or allergies; had previously been exposed to numerous medical procedures; worried about how much a young body could tolerate and whether the vaccination would worsen her existing medical condition.",[0. 0. 1. 0. 0. 0. 0.]
Extreme anxiety about injections.,[0. 0. 1. 0. 0. 0. 0.]
Concern for their daughter’s autonomy; postpone the vaccination and let her decide for herself at a later date. ,[0. 0. 0. 1. 0. 0. 0.]
"The information they received from the school health authorities was insufficient; did not talk about the actual vaccine and why it was needed; wanted transparent, unbiased information about all aspects of HPV and the HPV vaccination, together with links to reliable sources of more information. ",[1. 0. 0. 0. 0. 0. 0.]
The vaccination programme was rushed.,[1. 0. 0. 1. 0. 0. 0.]
"Recommendations from significant others, such as family, friends or healthcare professionals.",[1. 0. 0. 0. 0. 0. 1.]
Girls today are exposed to sex at an early age and in a negative; wanted their daughter to postpone their first sexual experience and to only have a small number of partners.,[0. 1. 0. 0. 0. 0. 0.]
The vaccine was not needed because the daughter was only supposed to have one partner and was not going to lead that kind of life of lax morals.,[0. 1. 0. 0. 0. 0. 0.]
"It was important that their daughters were well informed about preventing sexually transmitted infections (STIs) before she became sexually active; the importance of using condoms and related health advice, such as taking part in future cervical cancer screening programmes; the HPV vaccine, without such information, could give them a false sense of security.",[0. 0. 0. 0. 1. 0. 0.]
"Possible, new, unknown side effects and a perceived lack of evidence; the other childhood vaccinations were considered to be more reliable; HPV vaccine could have negative effects on the daughter’s future health, such as causing autoimmune diseases or decreasing fertility; questioned how long the vaccine would remain effective.",[1. 0. 1. 0. 0. 0. 0.]
"They were suspicious about vaccinations in general; vaccinations were unnatural and that their child’s health would be improved, and their immune system strengthened, by having flu or the usual childhood diseases.",[0. 0. 0. 0. 1. 0. 0.]
"Some parents did not trust the recommendations of the Swedish government and believed that mass vaccinations were a way to exert control over the population, a Big Brother phenomenon that told peoples what to do.",[1. 0. 0. 0. 0. 0. 0.]
"The government-supported mass vaccination against (A) H1N1, the so-called swine flu, was later found to have caused or precipitated narcolepsy; the mass vaccination for swine flu was described as hysterical, and all the parents drew a parallel between the two vaccinations.",[1. 0. 1. 0. 0. 0. 0.]
The decision about whether to vaccinate was a personal one and that they could make up their own minds about what was best for their child; most of the other parents had just vaccinated their daughters without thinking about it.,[0. 0. 0. 1. 0. 0. 1.]
"They did not trust the school nurse. She or he did not give the family enough support, or they did not feel the nurse was competent enough to provide adequate information. ",[1. 0. 0. 0. 0. 0. 0.]
The dangers of the HPV vaccines Cervarix and Gardasil,[1. 0. 1. 0. 0. 0. 0.]
Family remembrances of young women who died after receiving an HPV vaccine and (…) stories about their family members who died after receiving an HPV vaccine,[0. 0. 1. 0. 0. 0. 1.]
The scientific record is inaccurate because it omits information about vaccine injury.,[1. 0. 0. 0. 0. 0. 0.]
The vaccine was not tested enough due to political pressures to reopen the economy; Rumors about the White House threatening the leadership of the US Food and Drug Administration to rush vaccine approval or face forced resignation,[1. 0. 0. 0. 0. 1. 0.]
Side effects reported on nurses fainting and vaccine trial participants experiencing Bell palsy,[0. 0. 1. 0. 0. 0. 0.]
"The COVID-19 vaccine being a vehicle for exerting political control over citizens; Concern over the influence of big, government-backed pharmaceutical companies (“Big Pharma”) that were motivated by profits instead of the desire to help people",[1. 0. 0. 0. 0. 0. 0.]
News of the Federal Vaccine Injury Compensation Program in Canada resulted in further skepticism toward vaccine safety,[1. 0. 0. 0. 0. 1. 0.]
"The idea that if those who contracted COVID-19 had a ≥99% survival rate, then they should not have to receive a vaccine that is said to be 95% effective; Why anyone else should be concerned if they do not receive the vaccine, indicating a lack of understanding of herd immunity; Concerns about how the vaccine would alter human DNA; A lack of a vaccine for cancer, heart disease, and AIDS was proof that a new virus could not be cured; COVID-19 as a mild disease",[0. 0. 1. 0. 1. 0. 0.]
"Mistrust toward the CEO of Pfizer and political figureheads in Canadian politics like Doug Ford (the elected provincial leader of Ontario), as they were not taking the vaccine; mistrust toward vaccines that was based on reports of not being able to take legal action against drug companies if a person experiences any side effects",[1. 0. 0. 0. 0. 0. 0.]
"Legacy of harm caused by health care institutions that have traditionally targeted the Black, Indigenous, and people of color (BIPOC) community and the lesbian, gay, bisexual, transgender, queer+ (LGBTQ+) community; The Tuskegee syphilis experiment; The first people who were vaccinated in the United States were Black health care workers, and several Twitter users viewed this as forced participation in medical experiments; COVID-19 vaccination was viewed as paralleling the stigmatization of people who take pre-exposure prophylaxis, a medication for people living with HIV.",[1. 0. 0. 0. 0. 0. 0.]
"CONSPIRACY THEORIES: Accusing a group or organization (e.g., the government, pharmaceutical companies, or doctors) of having caused or covered up vaccine adverse reactions or events; Pharmaceutical companies and doctors benefit from illnesses caused by vaccines; Vaccination policies are motivated by profit; Vaccine information is withheld from the public; Doctors are ignorant or fearful of sanctions; Dangers of diseases are exaggerated to frighten parents; ",[1. 0. 0. 0. 0. 0. 0.]
CIVIL LIBERTIES: Dealing with a real or perceived violation of civil liberties; Violating parental rights; Monitoring parents for adherence to vaccination schedules; ,[0. 0. 0. 1. 0. 0. 0.]
HEALTH BELIEFS: Perceived benefits of the vaccine/vaccination; Perceived barriers to the vaccine/vaccination; Perceived susceptibility to contracting the disease the vaccine is supposed to protect from; Perceived severity of the disease the vaccine is supposed to protect from; Perceived self-efficacy.,[1. 0. 1. 0. 0. 0. 0.]
Fear of contracting influenza from the vaccination itself.,[0. 0. 0. 0. 1. 0. 0.]
"High levels of distrust of the medical community; a perception that [physicians who had written books about the dangers of vaccines] were courageous for speaking out against their peers, possibly to the detriment of their careers; physicians were biased in their attempt to get parents to vaccinate; they had specific agendas, including profit from the sale of vaccines; some would have preferred more information from their doctors on vaccines, with time to digest the information; while health care providers may have good intentions, they are unable to keep up with the volume of information available.",[1. 0. 0. 0. 0. 0. 0.]
"Attaining immunity from the infection is more natural, effective and long-lasting than those related to vaccination",[0. 0. 0. 0. 1. 0. 0.]
Consuming organic food and prolonging breastfeeding duration are more natural or effective than vaccination in increasing immunity against infectious disease,[0. 0. 0. 0. 1. 0. 0.]
"Association of the Mumps-Measles-Rubella (MMR) vaccine with autism; Associations between vaccine adjuvants and macrophagic myofascitis, and Hepatitis B vaccine with multiple sclerosis",[0. 0. 1. 0. 0. 0. 0.]
Refute the concept of herd immunity,[1. 0. 0. 0. 0. 0. 0.]
"Religion as a reason to refrain from vaccination despite the absence of underlying theological evidence, such as the misconception that porcine material is used in the manufacturing of rotavirus vaccine",[0. 1. 0. 0. 0. 0. 0.]
Divert to alternative practices or to defer their children vaccination schedules.,[1. 0. 0. 0. 1. 0. 0.]
Vaccine-related side effects and adverse events,[0. 0. 1. 0. 0. 0. 0.]
"First-time mothers repeatedly reported feeling vulnerable and needing guidance and sensitivity from their paediatrician. On the other hand, they felt mistrust when their physician was unavailable or when pressure was exerted on them to accept a suggested medical treatment or procedure.",[1. 0. 0. 0. 0. 0. 0.]
"Mistrust in situations where mothers felt that the physician was responding in a routine manner to the mother’s emotions, ignoring fears or requests for additional information. The mothers repeatedly complained about time management in routine check-ups (little time for discussion, full waiting rooms) (…) feeling overwhelmed and stressed in such situation makes information-processing very difficult, even where the physician is trying to provide all the information.",[1. 0. 0. 0. 0. 0. 0.]
"The hexa-vaccine (against diphtheria, tetanus, pertussis, hepatitis B, poliomyelitis and Haemophilus influenza type b) and the MMR vaccine (mumps, measles, rubella) as being the riskiest (…) fear of side-effects, especially autism which the mothers perceived to be a potential risk; ",[0. 0. 1. 0. 0. 0. 0.]
"Preferred natural or alternative treatments, especially in the initial phases of a disease.",[0. 0. 0. 0. 1. 0. 0.]
"The anti-vaccination messages lead to concerns, instilling doubt, motivating people to think about side-effects, and encouraging them to seek out more information.",[0. 0. 1. 0. 0. 0. 0.]
Mistrust toward the pharmaceutical business.,[1. 0. 0. 0. 0. 0. 0.]
"Having experienced side-effects (themselves or those of their friends’ children) or having disagreed with the suggested course of treatment, some mothers started to lose trust in their paediatricians. It was thus more likely that mothers would choose not to vaccinate the second child or not to give the second child the MMR vaccine or delay vaccinating the second child.",[1. 0. 1. 0. 0. 0. 1.]
The risks of contracting a vaccinepreventable disease were smaller than the risks of side-effects because of herd immunity.,[0. 0. 1. 1. 0. 0. 0.]
"Vaccines were dirty, contaminated with pus or bacteria.",[0. 0. 1. 0. 0. 0. 0.]
Vaccines were linked to septicemia and described as loathsome,[0. 0. 1. 0. 0. 0. 0.]
Religious views as a way to articulate a concern with the contents of vaccines,[0. 1. 0. 0. 0. 0. 0.]
Altering the composition of blood,[0. 0. 0. 0. 1. 0. 0.]
Injecting someone with an actual disease,[0. 0. 0. 0. 1. 0. 0.]
Causing discomfort through vaccination.,[0. 0. 1. 0. 0. 0. 0.]
Conspiracy theories about vaccination measures,[1. 0. 0. 0. 0. 0. 0.]
Heavy metals and adjuvants (mercury/thimerosal),[0. 0. 1. 0. 0. 0. 0.]
Cell lines of aborted fetuses,[0. 1. 0. 0. 0. 0. 0.]
The production of vaccines in monkey kidneys.,[0. 1. 0. 0. 0. 0. 0.]
Many chiropractic advertisements attacked the core tenet of vaccine therapy — germ theory — stating that disease was not the result of germs but rather “the result of interruptions and misalignments in the body.”,[1. 0. 0. 0. 1. 0. 0.]
