text,labels
Specific conspiracy theories or conveys a broader “search for truth.”: Antivaccine “expert” opinions; Safety Commission rumors; Zika vaccine conspiracy; Race-based sterilization in Africa; Vaccine industry corruption; Gates/Clinton conspiracies; Doctor reveals “truth”—found dead; Shaken baby syndrome cover-up ,0
"Stories of fraud, cover-up, or collusion between government, doctors, and pharmaceutical",0
Companies,0
"Vaccines cause harm, injury, or death: Babies dying after vaccination; Vaccines cause severe harm; Parents of vaccine-injured children; Vaccines cause autism; Influenza vaccine efficacy and side effects; Enzyme in vaccines causes cancer",6
Vaccines are toxic or contain poison: Environmental toxins; Vaccines contain disgusting things,6
Vaccines fail to provide immunity.,1
"Permanent sterility for women and girls, although male sterility",6
Temporary sterility,6
Failed pregnancies,6
Presentations by a physician on the symptoms of autism,6
Treating vaccine-injured children by a homeopath.,2
Vaccines are discursively presented by Christian activists as a biomedical claim of Divine failure; the decision to accept vaccinations implicitly means to doubt Divine intentions—which is otherwise highly transgressive for Haredi or ‘God-fearing’ Jews. ,4
"Vaccines were framed as adulterating bodies, which, according to Abrahamic cosmologies, remain the property of God",4
Vaccines cultured on human-cell lines (…) to criticize informed consent around vaccination,4
"Poisons: Vaccines contain poisons/toxins/contaminants (substances poisonous to humans, including anti-freeze, ether, formaldehyde, mercury, and nanobacteria.)",6
"Idiopathic illnesses: Vaccines cause illnesses of unknown origin (e.g. autism, SIDS; AIDS, asthma, cancers, diabetes, fibromyalgia, leukemia, lupus, Sudden Infant Death Syndrome)",6
"Immunity: Vaccines erode immunity, create only temporary/ineffective immunity (vaccination weakens the immune system or that immunity is ineffective because vaccinated individuals still contract diseases).",2
“Hot lots”: Supposedly contaminated vaccine lots have more adverse events,6
Underreporting: Vaccine reactions are underreported,1
"Disease decreases: Disease incidences declined without vaccines (i.e. from improved hygiene, nutrition, and poverty levels.)",2
Trivial diseases: Vaccine-preventable diseases are uncommon/not contagious/relatively mild,7
"Alternative treatments: Promoting treatments superior to vaccination (e.g. homeopathy, herbalism, chiropractics, naturopathy, and acupuncture)",2
"“Back to nature”: Promoting “natural” approaches (e.g. children should get diseases naturally, breastfeeding, eating whole foods)",2
"Products for sale: Promoting alternative products (e.g. vitamins, essential oils)",2
Parental rights: Civil liberties violated by taking away parental choice,10
Monitoring: Vaccine programs harass parents who do not vaccinate,10
Profit: Vaccination policies motivated by profit,1
Collusion: Vaccine promoters benefit from illnesses caused by vaccines,1
Protection: Government protects doctors/manufacturers from liability,1
Cover-ups: Vaccine information withheld from the public,0
Rebel doctors: “Enlightened” doctors break away from the medical establishment,1
"Foolish doctors: Doctors are ignorant, fearful of sanctions",1
Fear-mongering: Dangers of diseases exaggerated to frighten parents,7
Unusual theories: Unique theories about purposes of vaccination (e.g. sterilization; vaccines contain birth control to sterilize populations or genetic information to create new pandemics),0
Privileged knowledge: Presenting information the medical world is unaware of/rejects,9
Religious tenets: Vaccination is against God’s will (being created in God’s image means receiving God’s perfect immune system),4
Immoral acts: Vaccination involves immoral acts (e.g. child experimentation and animals being tortured in the process of vaccine manufacturing),5
"“Vaccines are toxic!”: Listing potentially toxic vaccine ingredients while providing disingenuous explanations of their dangers (a.k.a. the “toxin gambit”; ether, anti-freeze, formaldehyde, aborted fetal tissues, animal viruses, and foreign DNA).",6
"“Vaccines should be 100% safe”: Because absolute safety cannot be promised, vaccination is therefore flawed and dangerous.",6
"“You can’t prove vaccines are safe”: Demanding vaccine advocates demonstrate vaccines do not lead to harm, rather than anti-vaccine activists having to prove they do.",2
"“Vaccines didn’t save us”: Attributing improvements in health over recent decades to factors other than vaccines (e.g. better sanitation, cleaner water, and less crowding).",2
“Vaccines are unnatural”: Designating something “natural” to be the better option (e.g. naturally acquiring immunity from diseases rather than from vaccination; ).,2
“You’re in the pocket of Big Pharma”: Claiming those supporting vaccines do so because they are hired by pharmaceutical companies (a.k.a. the “pharma shill gambit”).,0
“I don’t believe in coincidences”: Rejecting that health problems can occur coincidentally after vaccination.,2
"“I’m an expert on my own child”: Redefining expertise, where parents are the experts on their own children while medical authorities are discounted (demonstrating the postmodern characteristic of redefining expertise).",9
"Demanded that vaccination be abandoned improved sanitation, the cleaning of streets, fumigation of houses, draining of pools and swamps, and so forth.",2
"The statistics by the advocates of vaccination were not reliable, since they were piled by those with a financial interest in the continuation of the operation",1
Vaccination either spread smallpox on an epidemic scale.,2
"Syphilis, leprosy, polio, cancer, and a host of other diseases were inoculated into the bloodstream of innocent children.",6
"Water cure, hydropathic, homeopathy, vegetable cures, naturopathy, chiropractors, dietitians, and nature-cure faddists",2
Attack on the allopath and his monopoly of medical licensure.,1
"It was opposed to the laws of nature. It was argued that if God wanted man vaccinated, he would have vaccinated him (smallpox as “the will of God”); The world's most highly respected authority, the Bible, to prove the inadequacy of vaccination.",4
"Questioning the safety of HPV immunization, ",6
The HPV immunization was ineffective. ,1
Downplayed the seriousness of HPV infection.,7
HPV infection [does not cause] serious disease,7
Most people clear the virus without experiencing any complications at all.,7
Outright deception in the promotion of HPV immunization,1
Financial interests of pharmaceutical companies were driving immunization policy. ,1
Argued against HPV immunization for religious reasons,4
Raised the concern that immunizing against HPV would create a permissive environment for girls to engage in high risk sexual activity.,5
Conspiracy theory of polio vaccination as a Jewish plot.,0
Fear of infertility,6
Trust deficit at the community level.,1
Trust deficit arises from questioning the credibility of vaccinators.,1
The Pashtun ethnic group considers itself at the centre of national and international conspiracies.,0
Those with a more profound attachment to religious circles have a deep hatred for foreign forces.,4
Clergy’s influence,4
Religious beliefs are manoeuvred to make people refuse vaccination.,4
The vaccination drive did not conform with the conservative Pashtun culture. In the words of one respondent,3
"Keeping in view the patriarchal structure of the society, there is a natural liking for male children, and hence this cultural preference plays into vaccine refusals.",3
Labelled use of force as detrimental.,10
Punitive actions are further stoking hatred against polio vaccination.,10
The community has unmet information needs.,1
The information flow needs improvement in content and quantity.,1
To uphold the credibility of the vaccination programme.,1
A current wave of disinformation on social media by militants is discrediting the Global institutions like the WHO.,1
Questioning of dosing recommendations,1
Religious prohibitions (“infidel vaccine”),4
Rumors related to the presence of active virus in the vaccines,2
"The virus was a grand illusion to target Islamic nations, designed to allow Jews to rule the world, and to include nano-chips imbedded in the bodies of people to gain control through 5G towers.",0
"Accusing the United States of inventing the virus in the United Kingdom, with subsequent transfer to China for global spread.",0
"Ingredients in the MMR vaccines, typically thimerosal or aluminum, caused autism.",6
Depopulation/genocide,0
Preparing the population to be organ donors,0
Claiming that national administration is controlled by a global government,1
"Vaccination programs were motivated solely by profit, even whilst being ineffective or harmful. Politicians, pharmaceutical companies, and healthcare professionals were said to be the beneficiaries of such businesses.",1
There have been doctors and other health professionals who have endorsed the various negative claims about vaccinations and the consequences of their application.,1
"Doctors could not see the truth because of their ignorance, lack of attention, fear, or lack of knowledge from sources other than official",1
"In contrast, there was also a belief expressed that the medical world is unaware of that information ",1
"Encouraged the undecided and pro-vaccine users to make “educated” decisions for their children, encouraging the use of sources of information presenting misinformation or conspiracy theories.",9
Pharmaceutical companies clearly stated in the SPC that vaccinations caused autism or SIDS.,6
Vaccinated people spreading diseases that they have gained immunity to,2
The lack of an effective influenza vaccine,1
"Stating that any viral vaccine destroys the intestines, etc.",6
"Alleged contamination of vaccinations (aluminum, mercury, naglaze, neurotoxins, glyphosate, and thiomersal).",6
The parents should always have the final say on medical procedures their children are subjected to.,10
"Mentions of human rights violations, the constitution, or the government being described as “totalitarian”.",10
Religious approach.,4
"Immoral acts (using cells of aborted fetuses in their production, experimenting on children, or specific events related to crime in a medical context).",5
"Alternative treatments such as “detoxification from heavy metals and vaccines”, homeopathy, herbalism, the use of high doses of vitamins, and energy healing.",2
Alternative products such as a set of diets for the treatment of autism or testing for the amount of heavy metals in the body.,2
"A “back to nature” approach (long breastfeeding, avoiding the use of medications, and promoting the acquisition of immunity by children through illness).",2
"Presence of additional genetic material, e.g. ‘Alzheimer’s genes’.",6
"Uncontrolled additional contaminants (organic, e.g. bacteria, viruses, cellular components of the medium, and proteins, as well as inorganic components)",6
Presence of mutated cells derived from the medium.,6
"Cells from aborted foetuses, foreskin cells, pig tissue.",4
Mercury (thiomersal present in vaccines may cause autism).,6
"Aluminum (causes long-term health complications, such as Alzheimer’s disease, microcephaly in foetuses and autism)",6
Formaldehyde,6
"Polysorbate 80 (causes ‘disorders of genital development’ [45], and they also refer to publications that this substance affects E. coli bacteria found in the intestine, which may be related to the pathogenesis of Lesniowski-Crohn disease)",6
"Monosodium glutamate (excess glutamate may be the causative agent of degenerative diseases, such as amyotrophic lateral sclerosis, Parkinson’s disease and Alzheimer’s disease).",6
Gelatine,6
"Loss of fertility, Alzheimer’s disease, stimulation of carcinogenesis, shortening human life, ‘reducing intelligence’.",6
Improving both living conditions and hygiene have a greater impact on improvement of the epidemiological situation than vaccinations.,2
Vaccinations increase the incidence of infectious diseases.,2
"There is no need for vaccination against tetanus, regardless of the patient’s age and place of residence",7
"Thousands of cases of sudden loss of consciousness within 24 hours, muscle aches and weakness, Guillain-Barré disease, chronic fatigue, ‘facial paralysis’, encephalitis, rheumatoid arthritis, lupus, blood clots, optic neuritis, multiple sclerosis, strokes, ‘heart attacks and other serious health problems, including deaths’, were observed after application of the HPV vaccine",6
"In the USA, there is a government database containing many thousands of case reports of children who have been injured or died as a result of vaccination complications",6
"There are many contraindications to vaccination, but doctors do not talk about it",1
"Mortality and morbidity would decrease spontaneously, even if vaccines were not applied",2
Vaccines are used to depopulate humanity,0
Most cancers are ‘caused by vaccines’,6
"All vaccines are contaminated with something that causes autism, but also a ‘cancer epidemic’",6
Nagalase protein enzyme is intentionally added to the composition of vaccines. Nagalase (alpha-N-acetylgalactosaminidase) hinders the binding of vitamin D and Gc protein and causes vitamin D deficiency in human body,6
"‘According to scientific studies’, ‘HPV vaccines also cause ovarian failure and, consequently, infertility’",6
Vaccination ‘reduces intelligence’ and causes autism,6
"The US government has revealed that the hepatitis B vaccine causes lupus, and that the vaccine given to every child in the United States after birth can trigger the developmentof multiple sclerosis",6
New vaccines are contaminated with genetically modified DNA,6
Treatment of diseases and their complications is a much larger source of income for pharmaceutical companies than vaccine production alone,1
"In 2009, the Finnish Minister for Health said ‘A/H1N1v vaccines were designed to reduce the population’",0
"Vaccination campaigns in poor countries are sham actions organized by hostile foreign States that collect intelligence, or weaken people living in a given area (rumors of this type have been spread in Africa and Pakistan).",0
"Vaccines are produced on the basis of cells from aborted foetuses, which is a very sensitive topic for many religious groups. Hindu, Protestant, Muslim and Jewish communities essentially oppose abortion for religious reasons.",4
Vaccinations threaten God’s world order. Christian-Protestant congregations believe that vaccination is an expression of ‘improper meddling in God’s work’.,4
Vaccines contain material propagated on pig-derived cells. This is a sensitive topic for religions such as Judaism and Islam.,4
Vaccines are produced on the basis of cells derived from the foreskin. This topic is sensitive for orthodox Jews and is not true.,4
Vaccines contain gelatine obtained from the tissues of the cow’s body. This is not true. Only hydrolyzed pork gelatine is used in vaccines. This is a sensitive topic for Hindus for,4
"whom the cow is sacred, and therefore insist on vaccines without cow material.",4
Vaccines contain gelatine derived from pigs. This is true. This is sensitive topic for radical followers of Judaism and the religion of Islam.,4
Vaccine not sufficiently tested,1
Fear of side effects,6
Not sufficiently informed,1
Suspicious of pharmaceutical lobbying,1
Doubts concerning efficacy,1
Duration of protection,1
Anti-vaccine attitudes,2
Daughter is too young/ not sexually active,2
Upheld family values,5
Other mode of protection,2
Influence of the pharmaceutical industry on vaccination policy and public authorities,1
Aluminium,6
Sudden infant death,6
Cyclical evolution of diseases,2
Low vaccination rates among health workers,1
"Autism, Guillain–Barré syndrome, multiple sclerosis, and cancer.",6
Vaccine ingredients,6
Evolving philosophical and religious objections.,4
Role of the government and pharmaceutical industry (Questioned the intentions of the pharmaceutical industry and government agencies that promote vaccination.),1
Balancing risk vs. benefit,7
Parental autonomy,10
"Concern that vaccines are mass produced and are not able to be tailored for an individual’s biological response or risk, which is contrary to other aspects of health care that are highly personalized.",1
Overwhelmingly put protecting their child over protecting society’s children.,8
Social media: Censoring ,10
Regulation of the administration of vaccines involved a threat to civil liberties and was an excessive exertion of governmental control.,10
Vaccines are toxic and poisonous or that their contents are made from undesirable products.,6
Vaccines were the cause of diseases or behavioral problems of unknown or uncertain origin (the pertussis vaccine causes brain damage; Vaccines erode the immune system).,6
"’Natural’ methods of preventing diseases are more desirable than the ‘artificial’ method of vaccination (Homeopathy is an alternative to vaccination; Good diet, exercise, clean water and fresh air will develop ’natural’ immunity, making vaccination unnecessary; natural health practices).",2
"The human body is perfectly designed by God and, therefore, capable of coping with diseases without “man-made” interventions",4
"The introduction of unclean/unnatural materials into one’s “temple” is a sin against God, as well as a slight against God’s ability to design humans perfectly.",4
"Similar ideological opposition to vaccines, perceiving them to be “unnatural or artificial”.",2
Conspiracy theories involving the use of vaccines to test drugs on unsuspecting citizens,0
"A broader capitalistic ploy to control the population, ensuring that parents are kept in the work force rather than at home tending to sick children.",0
The popular green/organic movement in consumer culture where an increasing number of consumers attempt to reconnect with “nature” by seeking more “natural” remedies/techniques to address their health concerns.,2
"Freedom of choice also relates to a parent’s ability to choose specific diseases to immunize their children against, rather than having to accept all of the prescribed vaccines.",10
"[The] drastic reduction in some common diseases is due to improved standards of living, hygiene, and nutrition,",2
Perceive vaccinations as being riskier than the diseases themselves (mumps and chicken pox).,7
"When Japan raised their vaccination age, from two months to two years in 1975, the rate of Sudden Infant Death Syndrome (SIDS) dropped from 13th in the world to becoming the lowest.",2
"The increase in allergies, ADHD, and autism may all be attributed, or related, to the increase in vaccinations.",6
"In some susceptible sub-groups, the risk of an autism related vaccination injury is as high as one in seven",6
France-centred perception that does not consider international experience,3
Sex and sexuality are a taboo topic of discussion in France,5
Accelerates sexual behaviour,5
Possibility of getting flu despite flu shot,1
"Alzheimer, narcolepsy, flu",6
"Hygiene, vitamin D, eating healthily, exposure to the sun, and wearing functional sportswear",2
"Autism (caused by ‘‘heavy metals’’, including ‘‘mercury’’ and ‘‘thimerosal.’)’",6
Potential of serious adverse reactions,6
Did not understand the need for immunizations.,7
Did not understand why immunizations were given on a standardized time schedule.,1
Parents wanted to feel as though their child’s plan of care was individualized.,1
The vaccine-autism link,6
Partner’s dissuasive role; often due to the latter’s lack of knowledge or lower vaccine uptake.,9
Several women and providers appear unaware of the threat of illness and appropriate action to reduce the threat.,7
They perceive it as harmful and therefore their fear serves as a barrier to vaccination; a potential threat to themselves or their fetus.,6
"Daily health habits such as eating healthy foods, keeping their environment clean, and frequent hand-washing as more important than ‘‘medicine.’’",2
Believes influenza is not a serious threat:,7
"Not having enough time to learn, do research, make a decision",1
Information that equally mentions benefits and risks,1
"Concern vaccines could cause autism or other long-term health issues, including asthma, allergies",6
Flu,2
"Fever, arm swelling, fussiness",6
Variable efficacy of the vaccine,1
Vested interests and profits of ‘Big Pharma’ and governments in advocating this vaccination every year,1
Complacency about influenza as a serious disease.,7
Violation of freedom.,10
Defenses naturally acquire,2
Healthy child without vaccines,2
Measles is not serious,7
Solution to adapt doses,1
Dangerous vaccines,6
French concerns,3
Previous scandals,1
Lack of transparency,1
Conspiracy between state and pharmaceutical industry,0
Secondary diseases to vaccines,6
Recognition by the medical body,1
Legal recognition of adverse reactions,1
Diseases caused by his injection,6
Link proven by scientific studies,1
French problem,3
"Beliefs in a metaphysical origin for Ebola; Ebola come from witchcraft, curses, or bad lack; Traditional healers and spiritual leaders are reliable for treatment of Ebola.",2
Ebola viewed as divine punishment; Prayers were a powerful tool that could stop Ebola; People could contract Ebola from a demon or as a result of offending God.,4
Nosocomial Ebola; People contracted Ebola from health facilities.,1
"Lack of hygiene as the cause of Ebola; Have been living in war and poverty for years, water supply and sanitation might be a challenge.",2
"Bathing in the Congo River causes Ebola; You can be infected by Ebola by being in contact with the Congo River, such as when fishing, bathing, or drinking.",2
Denial and doubt; Ebola does not exist in East DR Congo.,2
"Ebola as a biological weapon; Ebola was a bioweapon, made in a laboratory in a foreign country to harm people in the Kivus; The length of this outbreak in the Kivus and the prevalent eating habits (that is, not hunting bats for food) supported their belief that Ebola was a bioweapon; vaccinations were seen by some to be an experiment conducted so that the US army would have a reliable vaccine in the future to protect its soldiers; White people were testing drugs that they were preparing for a future biological attack.",0
"Organ trafficking; White people and other foreigners were often accused of spreading Ebola to harvest organs for trafficking with the help of local HCWs; Infecting people with Ebola, who were then killed, and then their organs were harvested and the body was filled up with concrete and buried; high mortality in ETCs and the use of opaque plastic bags for burials without family members",0
"Ebola as a business; International pharmaceutical companies, national health officials, and some frontline responders were making money from Ebola, not doing all they could to completely eradicate the outbreak by making a coordinated effort; National health officials in DR Congo were deliberately gaming the reporting system by fabricating data (for example, by increasing the number of Ebola cases reported) to attract funding from the international organizations.",1
Exclusion of some community leaders; Local gatekeepers and other well-known Ebola responders were not involved in the response efforts from the beginning.,1
The pharmaceutical industry was accused of benefiting from the “vaccination market” and of encouraging vaccination,1
"The media, accused of “misinforming” people by choosing not to communicate compromising information and therefore contributing to the “lies”, encouraged by vaccination lobbyists.",1
Vaccination was unnatural and that it disrupted the natural order of things,2
The human body “has been self-sufficient for years” and thus would not need vaccines,2
The reduced occurrence of epidemics would not be due to vaccination but to other factors such as the improvement of hygiene conditions and eating habits.,2
Vaccines were depicted as less and less effective or even useless,1
"Vaccination was presented as a violent process, some-times compared to a “poison” injected in a young defenceless body",6
"Vaccination was accused of encouraging the development of severe diseases such as cancers, multiple sclerosis, autism, Alzheimer’s disease or Parkinson’s disease",6
Adjuvants and preservatives included in vaccines were also called into question,6
"Vaccines include toxic ingredients such as thimerosal, aluminum, mercury, antifreeze, and formaldehyde.",6
"The toxic ingredients in influenza vaccines could cause severe side effects such as Guillain-Barre syndrome, acute disseminated encephalomyelitis, and liver dysfunction.",6
The disadvantages of influenza vaccination outweigh the benefits.,7
Pharmaceutical companies and hospitals generate excessive profits through the industry of influenza vaccines and that naive citizens are exploited by these entities.,1
"There is a conspiracy involving mass media and the Ministry of Health, Labor and Welfare that has to do with the influenza vaccine industry.",0
Denial of influenza vaccination efficacy based on scientific evidence; Denied the effectiveness of influenza vaccination by referring to epidemiological studies conducted both in Japan and abroad.,1
Doubts were also raised about the epidemiological data referenced by influenza vaccine promoters.,1
Denied the effect of influenza vaccine based on virology.,1
The efficacy rates of influenza vaccination are low.,1
Wrote cynically about the low influenza vaccination rate among health professionals.,1
The remarks of health professionals who deny the effect of influenza vaccination were often quoted as grounds.,1
Believe that something “natural” is inherently good or right whereas what is “unnatural” is bad or wrong; vaccines are unnatural and therefore bad and acquiring immunity naturally through infection is therefore better.,2
"Instead of vaccination, authors recommended a balanced diet, moderate exercise, good sleep, coping with stress, and yoga; taking vitamin D, omega-3 fatty acids, and lactic acid bacteria; and alternative therapies.",2
Rejected science and relied on subjectivity rather than objectivity.,9
"Physicians and public health, stating that they were linked to pharmaceutical companies and therefore pushing the manufacturers’ agendas, or working with government to spark fear in the public.",1
"Safety of vaccines was discussed, for measles as well as other infectious diseases, particularly human papillomavirus (HPV).",6
"Thimerosal, ‘‘toxins’’, ‘‘poisons’’, and mystery ingredients that have not been disclosed to the public",6
They felt were not worth injecting into their bodies to avoid an infection that they assumed to be relatively harmless.,7
"Mycosis, fatigue, autism, ADHD, liver issues, and other health issues they felt were caused by the vaccine.",6
The measles outbreak in Quebec sparked much debate about the vaccine’s efficacy.,1
"several of those who were infected were individuals who had been vaccinated against measles, some believed this indicated a less-than-effective vaccine.",1
"If the vaccine truly worked, none of those infected during the outbreak would have been previously vaccinated.",1
"Sentiment that the H1N1 vaccination campaign had been a scam to frighten the public and boost vaccine sales for drug manufacturers, eroding trust in all public health efforts for some commenters.",1
"Conspiracies between government and vaccine industries to spread fear about the pandemic, and increase vaccine sales.",0
Felt that the choice to get vaccinated should be up to the individual or their caregiver,10
Vaccination was not an issue of social responsibility; they should not be risking harm to themselves for the good of the public.,8
"Should be replaced with other health prevention measures such as hand-washing, proper hygiene, vitamin intake, etc.",2
"If someone was healthy, their immune system would be capable of fighting off an infection using less invasive measures.",2
The vaccine causes other illnesses to occur at the same time its administration.,6
Developing a good immune system requires experiencing vaccine preventable diseases.,2
Generalises from a single case (of vaccine failure) to suggesting the entire program is a failure.,9
Unimmunised children are healthier.,2
The decline of scarlet fever is largely due to the development of antibiotics and vaccination is irrelevant.,2
"1. Chipping. The version of global conspiracy, operating on the ideas of “global vac- cination conspiracy”, “coercive chipping program founded by organizations fi- nanced by Bill Gates”. The most popular versions of this theory presented by celeb- rities received their unique subcodes: “Mikhalkov”, “Safin”, “Icke”.
2. Anti-globalism. The group of more abstract «enemy above» [40] theories proposes COVID-19 link with global conspiracy and global state or World empire. This type of theories is often connected with some elements of “Chipping theory” but do not represent it in its pure form.
3. Anti-vax. The criticism of vaccination and in some cases discussion of “global vac- cination conspiracy” but without any mentioning of chips and chipping.
4. “Russian conspiracy”. The versions related to criticism of the authorities, Russian state bodies and healthcare. These texts often contain accusations against the Gov- ernment of hiding real statistics and concealing true information.
5. Sensationalism. The versions which erratically use different elements of other the- ories including bold speculations, such as involvement of “Masonry” or “satanic cults”.",0
subjectification of their daughters as sexual beings.;,5
discursively shifting back and forth between the HPV vaccination and the Chernobyl accident.,1
"children developed SSPE due to vaccination, rather than after natural infection; MMR vaccine leads to autism",6
vaccines contain mercury.,6
childhood contagious diseases should not be prevented because they provide better immunity as compared to vaccines ,2
„no one could prove the benefits of vaccination“,1
longer- term concerns about Infertility,6
"dis- trust in the organisations responsible for vaccine promotion and regulation; belief that vaccine safety testing is inadequate, flawed or biased.",1
judged the risk of side effects from vaccination to be too severe to consider using vaccines for disease preven- tion,6
"child or grandchild suffered a long-term or permanent injury or disability from vac- cination. Commonly reported problems were autism spec- trum disorder and other developmental disorders, allergies, and compromised immune system. ",6
"threatening death in relation to the disease or specific danger to children due to adverse effects, on risk perception",6
Children who have been reported as having reacted badly to MMR are not examined/parents dismissed/more research needed ,1
Many reports of vaccination damage and regressive autism after vaccination,6
Personal story of immune system negatively affected by MMR/measles vaccination,9
Expression of distrust in government/pharmaceutical industry,1
"No proof that vaccination was responsible for eradicating small pox, but it could have been caused by other factors, e.g., better sanitary and health care conditions",2
 Infant mumps vaccination increases risk for outbreaks of mumps in older age groups,2
"Mumps vaccination is motivated by economics, not health reasons",1
Mumps in children is a mild disease with few complications,7
Complications caused by mumps are rare,7
The risk of vaccination is higher than the risk of the disease,7
"There is no need to take the risk of vaccination, since vaccination is unnecessary",7
A child should not be vaccinated with the aim of protecting others,8
Children should not receive vaccines when they are sick,6
Natural infection is better than immunization,2
The MMR vaccine causes autism,6
Thimerosal in vaccines causes autism,6
Aluminum in vaccines is unsafe,6
Receipt of HPV vaccine leads to promiscuity,5
"Vaccines are “toxic” and contain antifreeze, mercury, ether, aluminum, human aborted fetal tissue, antibiotics, and other dangerous chemicals that can lead to autism and an assortment of chronic health conditions. Slogan: “Green our Vaccines”.",6
Vaccines have never been tested in a true “vaccinated versus unvaccinated” study; the vaccines in the current schedule have never been tested collectively.,1
"Vaccines “shed” (can be transmitted by vaccinated individuals to others); therefore, cases of vaccine-preventable diseases in the population are driven by the vaccinated, not the unvaccinated.",2
"The government, “Big Pharma,” and other entities are hiding the truth about vaccine injuries and deaths from the general public.",0
"“My child, my choice;” argues that parents should be the sole
arbiter of vaccine uptake and vaccine mandates should be removed.",10
Parents know their children best; parents are experts on children.,9
Promotion of “natural” infection in place of vaccination.,2
Cherry-pick experts who are outside of the mainstream to suggest vaccinations are more dangerous than mainstream science accepts.,1
The government and “Big Pharma” want to use vaccines to depopulate the globe and inject the population with tracking devices.,0
"One size does not fit all;
Some particular children cannot take the vaccine in question due to biological predispositions",1
The environment my child participates in is under my control and I can keep my child safe using my own powers and means (the vaccine in question is unnecessary),7
"The vaccine in question is (or all vaccines are) good/safe for nobody and (in some cases) ineffective anyhow;
Experts cannot be trusted;
Reliance on this vaccine (or all vaccines) represents poor (lazy, uninformed) parenting",1
"Biomedical/public health interventions are unnecessary because our health is part of the natural order of things;
There is no need (or: it is overcompensation) to interfere",2
seek- ing to protect one’s self from a merited scourge one demon- strates a lack of trust in the justice and fairness of God’s judgmental powers; This has intimations of man becoming God-like which is a stricture that has echoes in many of the objectors to the developments of modern biotechnology.; A fourth route to hell would be the use of inoculation to procure a suicide.,4
doubts about need for vaccines,7
concerns about vaccine safety,6
fear of adverse events,6
mistrust of industry and healthcare system,1
philosophical and religious issues,4
lack of memory of seriousness of the disease,7
vaccine decisions may be drowned out by other demands,7
" Islamic beliefs (religious reasons/ideologies): They were particularly con- cerned about their perceptions of vaccines as haram (something that is forbidden by Islamic law) and mudharat (anything harmful to human well-being).; In relation to haram, they believed that vac- cines contain pork products, and as Muslims are forbidden to eat pork by Islamic law, they refused all vaccines.",4
"Natural immunity: Newborn babies already have innate immunity, ",2
Disease is from God,4
 alternative medicine;,2
 Trust in social network,1
Conspiracy,0
Distrust in government;,1
"Adverse effects, Components",6
Perceived Risk of Getting Pertussis / Flu,7
Argues that vaccines may not work (for the tweeter or generally).,1
Argues that vaccination is a conspiracy. Includes accusations that vaccines are fake or governments lie about them.,0
"Argues that vaccines could be dangerous, such as by modifying DNA, containing chemicals, or having side-effects.",6
"false panic created by medical individuals or societies, profession- ally interested in vaccination; doctors as fakes and scientific medicine as a scam created to serve their
interests",1
the freedom of health from the tyranny of medical science,10
"She believed right living could cure everything, including cancer; that the ‘germ’ is not the cause of the disease, but that violation of the immutable law [of nature], on the part of the individual, or his forefathers, is the origin of all disease.; “Smallpox is simply a filth disease; it comes only to those whose internal organism is reeking with the poisons bred by an inactive alimentary canal, want of exercise, and the neglect of external cleanliness. Vaccination does not give protection.”",2
Their patent medicine business sold small vials of granules adver- tised as “cell salts” and guaranteed to “cure all diseases by feeding the tissues.”,2
Hundreds have died from vaccination.,6
Doctors as dumb and blind believers,1
Doctors operating in a wrong paradigm are not able to see the full and accurate picture,1
Emphasis on an exploitive system/ Big Pharma,1
Vaccination bonuses as a motivation for a doctor,1
Doctor as an entrepreneur,1
Doctors are the puppets for the Big Pharma,1
Doctors as treacherous agents ,1
Doctors do not take any responsibility,1
vaccine increases sexual risk taking,5
sends mixed messages about abstaining from sexual intercourse,5
usurps parental authority,10
increases the potential for development of new health disparities,3
"I realized that the disease is not serious, that it is not spreading",7
"I was not endangered by the disease personally (health, age, habits)",7
I believed that the vaccine is not efficient,1
"Vaccine is not safe, causes side effects",6
I mistrusted the vaccine,1
The vaccination recommendation is driven by ulterior motives,1
I put my trust in god,4
Vaccines contain poisons/are poisonous ,6
Vaccines ineffective ,1
Infectious diseases declined for other reasons,2
Diseases targeted by vaccines are trivial,7
Natural lifestyle gives immunity ,2
Alternative health superior ,2
Critiquing biomedicine/Germ-Theory ,1
Adverse vaccine reactions are underreported ,1
Conflicts of interest,1
Recommendation is motivated by profit,1
Cover up or lies ,0
Unusual theories: Unique theories about purposes of vaccination (e.g. sterilization) ,0
Religious tenets: vaccination is against God’s will,4
Immoral acts: vaccination involves acts against humankind (e.g. child experimentation) ,5
They doubted the safety of this vaccine because they believed it had been rushed to the market without proper investigation of its side effects,1
they suspected pharmaceutical companies had too much influence over this process ,1
"containing adjuvants and other excipients (such as squalene, thimerosal, detergents, etc.) which they claimed to be associated with a variety of serious diseases",6
swine flu wasn’t seen as a serious threat to most individuals’ health,7
the risks associated with vaccination were there- fore perceived as greater than those associated with catching the flu,7
"Centers for Disease Control and Prevention, the Food and Drug Administration, and the pharmaceutical industry hiding the truth about vaccines’ side effects; mandatory vaccines as a threat to their civil liberties",0
Inadequate handling of concerns around vaccine safety.,1
Lack of transparency on safety data.,1
Lack of accountability and support following the occurrence of HPV vaccine side effects.,1
Fear of vaccine side effects.,6
Fertility related concerns.,6
Mandatory parental consent seen as suspicious.,1
Belief that the vaccination campaign is an ongoing vaccine,1
